,title,keywords
0,Опыт использования MassTransit 3.0,".net, rabbitmq, masstransit"
1,Геймификация форума на движке XenForo,"геймификация, xenforo, форумные движки, форум, привлечение пользователей, gamification"
2,Кластер высокой доступности на postgresql 9.6 + repmgr + pgbouncer + haproxy + keepalived + контроль через telegram,"postgresq, haproxy, pgbouncer, keepalived, repmgr, cluster, HA, failover, replication"
3,Как перестать бояться и полюбить синтаксический анализ?,"irony, .net, c#, грамматический разбор, синтаксический анализ, 1с, бухгалтерия, бухгалтерия и программисты, sql, анализатор кода, грамматический парсер, грамматики, регулярные выражения, regexp"
4,Мифы и реальность: Что нужно знать о современных аудиосистемах,"аудиомания, мифы и реальность, акустика, аудиотехника"
5,Как выбрать тему для email-рассылки: универсальные правила и источники вдохновения,"pechkin.com, email-рассылки, email-маркетинг, newsletter, рассылка писем"
6,Как мы отказоустойчивый кластер запускали,"ceph, *nix, vmmanager cloud, кластер"
7,Deep Packet Inspection: Оборудование и применение,"dpi, анализ трафика, хостинг"
8,Удалённое включение скриптов Mikrotik из Telegram,"telegram bots, mikrotik, script"
9,Как заставить отдел продаж дочитать скучное письмо инженера о трансиверах Cisco?,"cisco, трансиверы, nexus, twinax, spf, sfp+, qsfp+, sfp+ трансиверы, spf трансиверы, qsfp+ трансиверы"
10,"Тестирование распределенных систем, — интервью с Андреем Сатариным, Яндекс","тестирование, распределенные системы, обмен опытом"
11,Repository Pattern via CSLA .NET,"csla, csharp, ninject, repository pattern"
12,Власти США разрешили исследователям заниматься пентестами и реверс-инжинирингом без юридических последствий,"информационная безопасность, копирайт, DMCA, пентесты, исследования безопасности, законы"
13,Поиск уязвимостей в байткоде Java: что делать с результатами?,"incode, декомпиляция, деобфускация, уязвимости, java bytecode, sast, статический анализ кода"
14,Enum в PHP,"php, symfony, doctrine, twig"
15,Извилистый путь разработчика,"программирование, карьера, развитие, обучение"
16,Открытые операционные системы для интернета вещей,"IoT, embedded"
