,0
0,Новая концепция для музея «Микула» в Нижнем Новгороде
1,Развитие туристического кластера в Кроноцком заповеднике
2,Создание мобильного приложения СППР для диагностики болезни Паркинсона
3,Гуманитарная политика России
4,Подкаст про современное высшее образование
5,"Экспедиция ""Миграционные процессы в регионах и населенных пунктах с разными видами хозяйственной деятельности (Республика Хакассия)"""
6,Медиацентр факультета биологии и биотехнологии
7,Прошлое как ресурс формирования новых городских образов в России: медиевализм в Выборге
8,Международный проект с Даляньским университетом иностранных языков
9,Создание экотропы у озера Щелкунское (Свердловская область)
10,Развитие кросс-платформенной музыкально-издательской деятельности студентов НИУ ВШЭ
11,Создание образовательной программы «Резиденция обучающегося города» на Урале
12,Информационная поддержка деятельности ПУЛАП в социальных сетях
13,"Исследование качества жизни и психологических ресурсов бездомных, проживающих в приюте «Теплый прием»"
14,"Китай и нетрадиционные угрозы безопасности: продовольствие, здоровье, киберпространство"
15,Культурно-гуманитарная политика великих и региональных держав на Ближнем Востоке и в Северной Африке
16,Развитие образовательного экологического центра на о. Кильпола (Карелия)
17,Телефонный опрос образовательных учреждений РФ в рамках Мониторинга экономики образования
18,Дайджест экспертных мнений для Портала «Orientalia Rossica – российское востоковедение XXI века»
19,Смыслы этнических категорий в современном Дагестане
20,Открытая правовая школа (2022–2023 учебный год)
21,Создание базы данных ингредиентов для разработки ИИ
22,Христианские древности Карачаево-Черкесии: пятая археологическая экспедиция
23,Оценка отношения молодежи РФ и СССР к историческому опыту холодной войны
24,Техническое сопровождение приемной кампании - 2022
25,Ведение Telegram-канала в рамках приемной кампании магистратур Института образования
26,Разработка мобильного приложения по психологии для Android
27,Студенческая археологическая экспедиция «По следам строителей Саркела»
28,Приемная кампания ФСН 2022
29,Исследование социально-экономических проблем современного Востока
30,Сравнение современных проблем Восточной Азии через призму градиентов социально-экономического развития
31,Санкционная политика в отношении КНДР и противодействие санкциям со стороны Пхеньяна
32,Российско-корейские отношения в документах и материалах российских архивов
33,Создание видео-сюжетов для курса «Организация работы преподавателя в системе поддержки учебного процесса Smart LMS НИУ ВШЭ: базовый курс»
34,"«Открытие» Китая, Японии и Кореи Западными державами в XIX веке"
35,Письменные исторические источники Кореи
36,Поэзия жанра хайку как фактор конвергенции культур Востока и Запада
37,Маркетинговые исследования туристического рынка в России по данным социальных сетей
38,«Религия и власть» (расшифровка семинаров фундаментального проекта ФГН «Религии мира: традиции и тексты»).
39,Организация и проведение II заседания Дискуссионного клуба
40,Профилактика преступлений в сфере экономической деятельности посредством медиакультуры
41,Сопровождение стартап-проектов на базе бизнес-инкубатора НИУ ВШЭ – Пермь
42,Социокультурная антропология шахтерского трудового быта в СССР
43,"Благотворительный фонд ""Точка Опоры"" – стратегия продвижения"
44,Крышечки Доброты - стратегия выхода на самоокупаемость
45,Анализ экосистем языков программирования в сообществе открытого программного обеспечения.
46,"Электронный справочник лекарственных препаратов, используемых во фтизиатрии с контролем совместимости лекарственных средств"
47,Система сопровождения хронических больных во фтизиатрии
48,Сервис опросов врачебного персонала в системе противотуберкулезной службы
49,Диагностическая система анализа изображений для оценки туберкулиновой чувствительности пациентов
50,3D Шутер от первого лица “FireBow”
51,Компьютерная 3D-игра в жанре шутер с видом сверху
52,"CRM-система для ""AliExpress Россия"""
53,Реализация статического анализа обработки исключений
54,React Библиотека компонентов пользовательского интерфейса
55,Конвертер C/C++ кода в Kotlin
56,Улучшение функциональности Orion Viewer – Android приложения для просмотра PDF
57,Генератор карт для Pocket Palm Heroes
58,Kotlin библиотека для поддержки нового типа данных дробных чисел – Posit
59,Мобильное приложение для измерения скорости поезда
60,Портирование алгоритма сжатия данных без потерь LZO на KorGE
61,Автоматическое форматирование XML в ReSharper/Rider
62,Typing Assistance для легковесного jvm-клиента к ReSharper (Secret New IDE)
63,Форматирование кода в неактивных ветвях препроцессора (ReSharper/Rider)
64,НАБОР НА ПРОЕКТ ЗАВЕРШЕН Автоматизация расчета рыночного риска (Market risk calculation)
65,НАБОР НА ПРОЕКТ ЗАВЕРШЕН Модель для предсказания безрисковой кривой государственных облигаций США (Treasuries Yield Curve Prediction Model)
66,Веб-приложение для мониторинга и контроля качества текстов курсовых и выпускных квалификационных работ студентов
67,Android-приложение для поддержания ментального здоровья
68,Подходы к выбору наиболее предпочтительной альтернативы в задаче нечеткого многокритериального принятия решений
69,Модификации метода анализа иерархий и сопутствующей процедуры чувствительности модели на основе нечетких множеств
70,Исследование четких и нечетких методов многокритериального принятия решений TOPSIS и SMART
71,"Программа вычисления структурного вектора модели системы, представленной в виде взвешенной матрицы смежности (процедура Q-анализа)"
72,"Применение нечетких элементов, основанных на сомнениях, в методах многокритериального принятия решений"
73,Разработка информационной системы анализа и визуализации узко-тематических наборов коротких текстов
74,Restful веб-сервис для работы с базами данных по свойствам неорганических веществ и материалов
75,Сервис для анализа индексируемости страницы и отдельных ее частей со стороны поисковых систем.
76,Модуль для DKIM-подписи почтовых сообщений для Microsoft IIS SMTP Server
77,Сервис для обнаружения ошибок в ссылочной массе сайта
78,Графовая база данных для оценки релевантности химических объектов
79,Сервис для проверки корректности гиперссылок на странице
80,Сервис для быстрого подключения Push-уведомлений к вебсайтам
81,Многокритериальный поиск выбросов в данных
82,Расширяемое веб-приложение с графическим интерфейсом для анализа данных
83,Приложение для мониторинга работы ASP.Net-приложений
84,Адаптивное web-приложение для систематизации публикаций по применению методов машинного обучения в неорганической химии и материаловедении
85,Парсер формул химических соединений
86,Single Sign On сервис для единой аутентификации и авторизации пользователей в приложениях с разграничением прав доступа
87,Restful веб-сервис для работы с базой данных по интегрированным информационным системам в области неорганической химии
88,"Переписывание запросов для доступа к информации о
свойствах неорганических веществ, распределенной по нескольким
источникам данных"
89,Средство анализа журналов IIS и мониторинга работы служб ++
90,Веб-Сервис для проверки корректности почтовых адресов
91,Компонента для быстрой генерации YML-документов на основе поточной работы с XM
92,Программа анализа фотографий микроструктуры и оценки уровней размерности частиц
93,Программа визуализации и обработки спектрограмм
94,"Программа обработки экспериментальных данных с
моделированием зависимостей и расчета характеристик
нанообъектов"
95,"Программа планирования условий эксперимента для получения
материала с оптимальным сочетанием функциональных
характеристик"
96,"Программа вычисления объема многогранников по структурным
данным"
97,Программа обработки дифрактограмм аморфных объектов и расчета их основных характеристик
98,ORM-библиотека на Kotlin
99,Инструмент руководителя
100,Клиент-серверное мобильное приложение для конвертации голоса речи в аудиозаписях
101,Разработка платформы для выпуска и обслуживания контр-гарантий группы RBI
102,Реализация сервисов для операционного мониторинга
103,Приложение для заключения безопасных споров
104,"Инструментарий для измерения временных задержек до серверов
криптобирж

Tools for measuring time delays to crypto exchange servers"
105,"Система, сохраняющая и воспроизводящая торговые данные с криптобирж"
106,iOS и WatchOS — трекер сердца с аналитической и статистической сводками сердечного ритма в различных физических состояниях
107,VPN-сервис с клиентскими приложениями
108,Реализация и обучение алгоритма распознавания речи без учителя
109,Скидка на доставку (ДД)
110,Супергерой
111,Разработка электронной копии Москвы в игре Minecraft
112,Android-приложение на Kotlin для интерактивного перевода слов с возможностью их изучения
113,Выделение паттернов в семантическом пространстве юридических текстов при помощи рекуррентных нейросетевых моделей
114,Штурм крепости
115,"Построение модели оценки качества программного кода для Digital
платформы Банка Открытие на основе нейросети"
116,Использование GAN для генерации сигналов ЭКГ и повышения качества классификации
117,"Веб-приложение, отвечающее на вопросы по тексту"
118,Android библиотека определения геолокации
119,Многоуровневый платформер на Unity3D
120,Исследование методов и алгоритмов быстрого распознавания номера маршрута приближающегося общественного транспорта через камеру смартфона
121,Многоуровневая башенная защита на Unity3D
122,игра на нереальном движке 4
123,Прототипирование техник взаимодействия для работы с 2D-интерфейсами в VR
124,Приложение для оценки плавности вождения автомобиля
125,Математическая библиотека для платформы .NET
126,Видеоигра Unreal Engine 4
127,IntelliLangHub: публичный репозиторий правил встраивания фрагментов кода в строковые константы другого языка
128,Система функционального программирования без кода
129,Программа для исправления сетей Петри с использованием гамаков
130,Моделирование процесса разработки на основе событийных данных из репозиториев
131,Генератор искусственных моделей процессов со случайными поломками
132,Библиотека для визуализации моделей процессов
133,Учебная программа для демонстрации работы алгоритмов process mining
134,Визуализатор соответствия для многоагентных моделей и журналов событий
135,Генерация журналов событий по примерам
136,Инструмент для журналирования Kotlin-программ
137,Программа для сбора архитектурной информации из открытых репозиториев
138,Набор данных (dataset) для проектов в духе Codex
139,клиент-серверное приложение по поиску мероприятий “MeetMe”
140,Модульный Синтез моделей мультиагентных систем по журналам событий
141,Визуализация морфизмов на сетях Петри и построение коммутативных диаграмм
142,Мобильное приложение – Игра в слова
143,Платформа для регистрации кандидатов в курьеры
144,Веб-приложение: виртуальный карьерный помощник
145,Программа очистки речи от звуков-паразитов
146,Рекомендательная система продуктов онлайн магазинов
147,Система хранения и анализа данных носимых устройств
148,Цифровой Ассистент Студента
149,Искусственный интеллект в роли программиста
150,Разработка Gitlab-CI runner на C# для встраивания в экосистему компании.
151,Выдача рекламных предложений на основе геолокации (ВРПОГ)
152,Сервис для визуального построения архитектуры базы данных с последующим сопровождением
153,Аналитическое хранилище для KION
154,Система исправления грамматических ошибок и опечаток.
155,Программа обнаружения границ объектов на спутниковых снимках с помощью нейронных сетей и клеточных автоматов
156,Исследование и разработка алгоритмов восстановления 3D моделей местности по спутниковым данным
157,Программа восстановления 3D модели местности по спутниковым данным
158,Исследование и разработка версий алгоритма Мо и его приложений
159,Исследование и разработка алгоритмов выделения границ объектов на спутниковых данных с помощью нейронных сетей и клеточных автоматов
160,Исследование и разработка алгоритмов соединения матриц и тензоров
161,Программа для соединения матриц и тензоров
162,Исследование и разработка алгоритмов соединения по сходству матриц и тензоров
163,Программа соединения по сходству матриц и тензоров
164,Исследование и разработка алгоритмов поиска Top-K подмассивов
165,Программа поиска Top-K подмассивов
166,Программа обнаружения изменений на спутниковых данных
167,Исследование и разработка алгоритмов обнаружения изменений на спутниковых данных
168,Программа обнаружения городских изменений по спутниковым данным на основе нейронных сетей
169,Программа классификации спутниковых данных с помощью деревьев решений
170,Исследование и разработка методов классификации спутниковых данных с помощью пространственных деревьев решений
171,Программа классификации спутниковых данных с помощью пространственных деревьев решений
172,Исследование и разработка методов сжатия временных рядов матриц
173,Программа выделения объектов на спутниковых снимках с помощью машинного обучения
174,Исследование и разработка алгоритмов заполнения пустот в спутниковых снимках
175,Программа для заполнения пустот в спутниковых снимках
176,Программа моделирования распространения пожара с помощью клеточных автоматов
177,Программа для обработки больших геопространственных данных на GPU
178,Исследование и разработка алгоритмов индексации спутниковых данных
179,Программа индексации спутниковых данных
180,Программа моделирования изменения земной поверхности
181,Программа обнаружения изменений землепользования по мультисенсорным спутниковым данным
182,Программа пространственной индексации с помощью машинного обучения
183,Программа обработки спутниковых данных с помощью логистической регрессии
184,Программа слияния спутниковых изображений с разным пространственным разрешением
185,Программа ортотрансформации спутниковых сцен
186,Исследование и разработка методов панхроматического слияния спутниковых сцен
187,Программа панхроматического слияния спутниковых сцен
188,Исследование системы ERDDAP для распространения растровых геоданных
189,Исследование системы GeoServer для распространения растровых геоданных
190,Исследование системы RasDaMan для распространения растровых геоданных
191,Исследование производительности систем обработки больших растровых геоданных
192,Исследование системы THREDDS для распространения растровых геоданных
193,Исследование производительности систем обработки больших векторных геоданных
194,Программа обнаружения изменений в радиолокационных снимках с синтезированной апертурой на основе глубокого обучения
195,Исследование и разработка подходов приближенных вычислений на матрицах и тензорах
196,Программа планирования райдшеринга
197,Исследование обработки тензоров с помощью SciDB
198,Исследование Apache Spark для обработки геопространственных растровых данных
199,Программа обработки спутниковых данных с помощью SVM (Support Vector Machines)
200,Система обработки спутниковых данных с помощью SVM (Support Vector Machines)
201,Исследование и разработка методов классификации спутниковых данных с помощью SVM (Support Vector Machines)
202,Программа классификации спутниковых данных с помощью SVM (Support Vector Machines)
203,Исследование и разработка методов обнаружения изменений на спутниковых снимках с помощью SVM (Support Vector Machines)
204,Программа обнаружения изменений на спутниковых снимках с помощью SVM (Support Vector Machines)
205,Программа моделирования дорожного движения на GPU
206,Программа машинного обучения и моделирования закономерностям дорожного движения
207,Программа понимания спутниковой сцены
208,Клиент-серверное приложение для обработки геопространственных данных по протоколу WCPS
209,Серверное приложение для предоставления данных по протоколу WebDAV
210,Клиент-серверное приложение для распространения геопространственных данных по протоколу WFS
211,Система контроля версий для геоданных с поддержкой аналитических запросов
212,Программа анализа пожаров с помощью метода аналогов
213,Программа моделирования пожаров для больших территорий с помощью клеточных автоматов
214,Программа моделирования дорожного движения с высоким разрешением
215,Исследование и разработка методов моделирования пожаров для больших территорий с помощью клеточных автоматов
216,Исследование и разработка методов моделирование дорожного движения с высоким разрешением
217,Программа обработки больших геоданных с использованием Облачных технологий
218,Программа прогноза роста городов с помощью клеточных автоматов
219,Программа оценки выбросов парниковых газов с помощью машинного обучения
220,Программа построения карт высокого разрешения концентрации аэрозолей с помощью машинного обучения и Google Earth Engine
221,Программа сезонного прогноза климата с помощью метода аналогов
222,Исследование и разработка методов обработки больших сырых геопространственных данных
223,Исследование и разработка методов обработки больших геоданных в разных форматах
224,Web-приложение для обработки массивов в Интернет браузере
225,Программа обработки больших геоданных на основе NVM (Non-Volatile Memory)
226,Мини-база данных на основе HDF5 (Hierarchical Data Format 5)
227,Программа обработки массивов на основе HSDS (Highly Scalable Data Service)
228,Программа для обработки графов в виде тензоров
229,Программа для обработка геоданных на FPGA
230,Web-приложение для иллюстрации изменения климата
231,Программа обработки тензоров с помощью дерева k2-k3-raster
232,Программа обработки больших геоданных с помощью Apache Spark
233,Исследование и разработка методов обработки больших геоданных с помощью Apache Spark
234,Исследование и разработка методов обработки больших геоданных с помощью Apache Ingnite
235,Программа обработки больших данных с помощью Apache Ignite
236,Программа визуализации дорожного движения на основе Unreal Engine
237,Программа визуализации дорожного движения на основе Unity
238,"Программа для сбора, очистки и слияния геопространственных данных"
239,Программа для прогноза условий сектора энергетики с помощью метода аналогов
240,Программа для статистического даускейлинга прогнозов климата
241,Cегментация объектов ритейл сети для определения зависимости спроса от цены
242,Агрегатор общественного транспорта
