,0
0,"['арт', 'исследовательский проект', 'музейное дело', 'развитие регионов', 'туризм']"
1,"['коммуникации', 'местные сообщества', 'развитие регионов', 'социологические исследования', 'туризм']"
2,"['IT-проекты', 'анализ рынка', 'веб-разработка', 'дизайн', 'мобильное приложение']"
3,"['культура', 'международные отношения']"
4,"['SMM', 'аудио', 'аудиоподкастинг']"
5,"['миграция', 'полевые исследования', 'проведение интервью', 'экспедиция']"
6,['социальные сети']
7,"['открываем Россию заново', 'экспедиция']"
8,['Китай']
9,"['городское благоустройство', 'проектная деятельность', 'развитие регионов', 'экология']"
10,"['event management', 'медиакоммуникации', 'пиар', 'продвижение бренда']"
11,"['исследования', 'маркетинг', 'образование', 'разработка предложений', 'социальный проект']"
12,"['информационное сопровождение', 'ПУЛАП', 'социальные сети']"
13,"['НКО', 'психология', 'социальная психология', 'социология']"
14,"['глобальное управление', 'здравоохранение', 'кибербезопасность', 'Китай', 'международная безопасность']"
15,"['Ближний Восток', 'внешняя политика', 'международные отношения']"
16,"['образование', 'развитие регионов', 'сообщество', 'экология']"
17,"['социологические исследования', 'телефонный опрос']"
18,"['Азия', 'Арабский Восток', 'Ближний Восток', 'востоковедение', 'Восточная Азия', 'Дальний Восток', 'Китай', 'Корея', 'новости', 'Центральная Азия', 'эксперты', 'Юго-Восточная Азия', 'Япония']"
19,"['качественные исследования', 'Республика Дагестан', 'современная культура', 'социологические исследования']"
20,"['право', 'преподавание']"
21,"['база данных', 'ведение базы данных', 'искусственный интеллект']"
22,['археология']
23,"['глубинное интервью', 'качественные исследования', 'Холодная война']"
24,['приемная кампания']
25,"['SMM', 'telegram', 'абитуриенты', 'креативность', 'создание контента']"
26,"['Android', 'дизайн', 'мобильное приложение', 'программирование', 'психология']"
27,"['3D проектирование', 'campus life', 'cognitive development', 'археологическая экспедиция', 'археология']"
28,"['excel', 'аналитика', 'командная работа', 'профориентация']"
29,['социально-экономическое развитие']
30,['социально-экономическое развитие']
31,"['Корея', 'санкции']"
32,"['история', 'история СССР', 'Корея', 'международные отношения', 'Россия']"
33,"['анализ текста', 'видео', 'видеомонтаж', 'видеосъемка']"
34,"['Китай', 'Корея', 'Япония']"
35,"['история', 'источниковедение', 'Корея']"
36,"['японская культура', 'японская литература', 'японская поэзия']"
37,"['анализ данных', 'социальные сети', 'тренды', 'туризм в России']"
38,"['власть', 'религия']"
39,['закон']
40,"['критическое мышление', 'уголовное право']"
41,"['консалтинг', 'проектная деятельность', 'стартапы']"
42,"['глубинное интервью', 'история СССР', 'социальная антропология', 'социология']"
43,"['SMM', 'дизайн материалов', 'инвалидность', 'маркетинг', 'НКО', 'спорт']"
